"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Real-World Scenarios","Breaking Changes Scenario","0","0","1","0","0"
"","End-to-End Validation Workflow","Complete Validation Pipeline","0","0","1","0","0"
"","API Schema Validation","Request Schema Validation","0","0","1","0","0"
"","API Security Validation","Authentication Requirements","0","1","0","0","0"
"","Criticality Analysis","Path Criticality Scoring","0","0","2","0","0"
"","Drift Classification","Drift Detection","0","0","1","0","0"
"","JSON Diff Engine","Basic Diff Operations","0","0","1","0","0"
"","Feature Extraction","Feature Vector Generation","0","0","1","0","0"
"","Scoring System","Brittleness Scoring","0","0","1","0","0"
"","Anomaly Detection","Response Anomaly Detection","0","0","1","0","0"
"","JSON Diff Engine","Breaking Change Detection","0","0","1","0","0"
"","API Schema Validation","Response Schema Validation","0","0","1","0","0"
"","Anomaly Detection","Runtime Metrics Anomaly Detection","0","0","1","0","0"
"","Real-World Scenarios","Minor Changes Scenario","0","0","1","0","0"
"","Scoring System","QoE Risk Scoring","0","0","1","0","0"
"","JSON Diff Engine","Value Change Detection","0","0","1","0","0"
